#N=10000 sum of ti-dists depending on pacement of r on and axis
dist-from-0 ti-dist-sum-3 ti-dist-sum-4 ti-dist-sum-5
3.6900e+001 1.6907e+009 1.5424e+009 1.4045e+009
3.7000e+001 1.6906e+009 1.5423e+009 1.4045e+009
3.7100e+001 1.6905e+009 1.5423e+009 1.4044e+009
3.7200e+001 1.6905e+009 1.5422e+009 1.4044e+009
3.7300e+001 1.6904e+009 1.5422e+009 1.4044e+009
3.7400e+001 1.6904e+009 1.5421e+009 1.4043e+009
3.7500e+001 1.6903e+009 1.5421e+009 1.4043e+009
3.7600e+001 1.6902e+009 1.5420e+009 1.4042e+009
3.7700e+001 1.6902e+009 1.5420e+009 1.4042e+009
3.7800e+001 1.6901e+009 1.5419e+009 1.4042e+009
3.7900e+001 1.6901e+009 1.5419e+009 1.4041e+009
3.8000e+001 1.6900e+009 1.5418e+009 1.4041e+009
3.8100e+001 1.6900e+009 1.5418e+009 1.4041e+009
3.8200e+001 1.6899e+009 1.5417e+009 1.4040e+009
3.8300e+001 1.6898e+009 1.5417e+009 1.4040e+009
3.8400e+001 1.6898e+009 1.5417e+009 1.4039e+009
3.8500e+001 1.6897e+009 1.5416e+009 1.4039e+009
3.8600e+001 1.6897e+009 1.5416e+009 1.4039e+009
3.8700e+001 1.6896e+009 1.5415e+009 1.4038e+009
3.8800e+001 1.6896e+009 1.5415e+009 1.4038e+009
3.8900e+001 1.6895e+009 1.5414e+009 1.4038e+009
3.9000e+001 1.6895e+009 1.5414e+009 1.4037e+009
3.9100e+001 1.6894e+009 1.5413e+009 1.4037e+009
3.9200e+001 1.6893e+009 1.5413e+009 1.4037e+009
3.9300e+001 1.6893e+009 1.5413e+009 1.4036e+009
3.9400e+001 1.6892e+009 1.5412e+009 1.4036e+009
3.9500e+001 1.6892e+009 1.5412e+009 1.4035e+009
3.9600e+001 1.6891e+009 1.5411e+009 1.4035e+009
3.9700e+001 1.6891e+009 1.5411e+009 1.4035e+009
3.9800e+001 1.6890e+009 1.5410e+009 1.4034e+009
3.9900e+001 1.6890e+009 1.5410e+009 1.4034e+009
